week,method,samples,objective
02/21-02/27,GZO_NS,0,4.101570403576337
02/21-02/27,GZO_NS,90,-1.027738166585995
02/21-02/27,GZO_NS,186,-6.294686697653569
02/21-02/27,GZO_NS,288,-12.246238668944716
02/21-02/27,GZO_NS,396,-12.635639418265018
02/21-02/27,GZO_NS,510,-12.556842495715062
02/21-02/27,GZO_NS,630,-12.401667582908612
02/21-02/27,GZO_NS,756,-12.513475768290279
02/21-02/27,GZO_NS,888,-12.58302689000416
02/21-02/27,GZO_NS,1026,-12.565527439088651
02/21-02/27,GZO_NS,1170,-12.585742969914946
02/21-02/27,GZO_NS,1320,-12.693149921671596
02/21-02/27,GZO_NS,1476,-12.552370652756089
02/21-02/27,GZO_NS,1638,-12.607333998767855
02/21-02/27,GZO_NS,1806,-12.60614551961236
02/21-02/27,GZO_NS,1980,-12.590788361589759
02/21-02/27,GZO_NS,2160,-12.697658821172917
02/21-02/27,GZO_NS,2346,-12.7192540611365
02/21-02/27,GZO_NS,2538,-12.596887022080136
02/21-02/27,GZO_NS,2736,-12.63776616127948
02/21-02/27,GZO_NS,2940,-12.594101730510753
02/21-02/27,GZO_NS,3150,-12.598203692977394
02/21-02/27,GZO_NS,3366,-12.67420865895065
02/21-02/27,GZO_NS,3588,-12.511437231361997
02/21-02/27,GZO_NS,3816,-12.754069740401341
02/21-02/27,GZO_NS,4050,-12.495533394521168
02/21-02/27,GZO_NS,4290,-12.499045103623592
02/21-02/27,GZO_NS,4536,-12.628715323576195
02/21-02/27,GZO_NS,4788,-12.597428201823412
02/21-02/27,GZO_NS,5046,-12.590195515635553
02/21-02/27,GZO_HS,0,4.152984818581362
02/21-02/27,GZO_HS,60,3.924612777306224
02/21-02/27,GZO_HS,124,4.00521656627948
02/21-02/27,GZO_HS,192,-3.012699417205018
02/21-02/27,GZO_HS,264,-3.1484147578006367
02/21-02/27,GZO_HS,340,-8.01615374259706
02/21-02/27,GZO_HS,420,-10.749204298728026
02/21-02/27,GZO_HS,504,-10.695466507042052
02/21-02/27,GZO_HS,592,-11.906494216955501
02/21-02/27,GZO_HS,684,-11.974211617424944
02/21-02/27,GZO_HS,780,-12.051027704870288
02/21-02/27,GZO_HS,880,-12.22994192286725
02/21-02/27,GZO_HS,984,-12.700599145021394
02/21-02/27,GZO_HS,1092,-12.902710714065702
02/21-02/27,GZO_HS,1204,-12.855547098152702
02/21-02/27,GZO_HS,1320,-13.003957134551925
02/21-02/27,GZO_HS,1440,-12.889242790487
02/21-02/27,GZO_HS,1564,-13.046388255161
02/21-02/27,GZO_HS,1692,-13.060840194905223
02/21-02/27,GZO_HS,1824,-13.147545408459122
02/21-02/27,GZO_HS,1960,-13.118519206383434
02/21-02/27,GZO_HS,2100,-13.118651522719203
02/21-02/27,GZO_HS,2244,-13.238633937011057
02/21-02/27,GZO_HS,2392,-13.233255610259082
02/21-02/27,GZO_HS,2544,-13.202775614423928
02/21-02/27,GZO_HS,2700,-13.26536777055344
02/21-02/27,GZO_HS,2860,-13.210670724950262
02/21-02/27,GZO_HS,3024,-13.302398167418323
02/21-02/27,GZO_HS,3192,-13.128392736558592
02/21-02/27,GZO_HS,3364,-13.31629839248256
02/21-02/27,GZO_HS,3540,-13.318254392227441
02/21-02/27,GZO_HS,3720,-13.307958712916486
02/21-02/27,GZO_HS,3904,-13.225166360403069
02/21-02/27,GZO_HS,4092,-13.222857828078
02/21-02/27,GZO_HS,4284,-13.219508730712002
02/21-02/27,GZO_HS,4480,-13.234641084929713
02/21-02/27,GZO_HS,4680,-13.316767063657647
02/21-02/27,GZO_HS,4884,-13.277092839984597
02/21-02/27,GZO_HS,5092,-13.317765344137701
02/21-02/27,ZO_TG,0,4.023533195501831
02/21-02/27,ZO_TG,60,1.1153141282864873
02/21-02/27,ZO_TG,124,0.19329376922186886
02/21-02/27,ZO_TG,192,-0.7404192962669038
02/21-02/27,ZO_TG,264,-2.717581144381486
02/21-02/27,ZO_TG,340,-4.24655806156005
02/21-02/27,ZO_TG,420,-4.584839253036462
02/21-02/27,ZO_TG,504,-6.829526003113016
02/21-02/27,ZO_TG,592,-6.298860433484233
02/21-02/27,ZO_TG,684,-7.9385833570606925
02/21-02/27,ZO_TG,780,-8.118256752694888
02/21-02/27,ZO_TG,880,-8.100098261044566
02/21-02/27,ZO_TG,984,-8.923049660489102
02/21-02/27,ZO_TG,1092,-8.990616302354342
02/21-02/27,ZO_TG,1204,-9.013477178972087
02/21-02/27,ZO_TG,1320,-9.377133641591799
02/21-02/27,ZO_TG,1440,-9.65905612063012
02/21-02/27,ZO_TG,1564,-9.63640758315514
02/21-02/27,ZO_TG,1692,-9.764175119046598
02/21-02/27,ZO_TG,1824,-10.369802193519263
02/21-02/27,ZO_TG,1960,-10.386486209182124
02/21-02/27,ZO_TG,2100,-10.550778066222975
02/21-02/27,ZO_TG,2244,-10.616493503044198
02/21-02/27,ZO_TG,2392,-10.823391905013578
02/21-02/27,ZO_TG,2544,-10.941922513638277
